player_name,events,zone,p_throws,hit_location,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,hc_x,hc_y
Adam Lind,Single,4,R,8,0,1,null,null,572122,0,2,98.47,82.74
Adam Lind,Double,8,R,7,2,1,null,null,null,0,4,58.7,81.89
Adam Lind,Single,8,R,8,3,1,null,null,572122,2,4,117.76,83.76
Adam Lind,Double,1,R,8,0,2,null,null,443558,2,3,138.07,42.56
Adam Lind,Single,6,R,9,1,0,null,null,null,0,2,175.63,105.12
Adam Lind,Single,1,R,8,0,0,null,null,null,2,4,125.57,106.57
Adam Lind,Single,3,R,8,0,1,null,null,null,2,2,131.97,96.98
Adam Lind,Single,4,L,8,0,1,null,null,null,0,5,114.18,76.72
Adam Lind,Double,6,R,8,0,1,null,null,null,0,2,73.88,74.76
Adam Lind,Double,5,L,8,3,1,null,443558,null,2,4,92.38,45.1
Adam Lind,Double,8,R,9,3,1,null,443558,572122,0,8,156.85,50.19
Adam Lind,Single,2,R,8,0,1,null,443558,572122,0,4,145.4,143.91
Adam Lind,Home Run,3,R,9,1,2,null,null,null,0,2,232.48,66.46
Adam Lind,Double,4,L,7,2,2,null,null,429664,2,8,47.71,118.34
Adam Lind,Single,2,R,9,0,1,null,null,null,0,6,176.65,101.05
Adam Lind,Home Run,7,R,7,2,1,null,null,null,2,8,36.54,78.67
Adam Lind,Single,2,R,7,2,2,null,493193,null,1,5,81.21,110.21
Adam Lind,Single,1,R,9,1,0,null,null,493193,2,3,187.31,102.07
Adam Lind,Double,1,R,7,0,1,null,null,null,2,8,45.68,82.74
Adam Lind,Home Run,4,R,7,3,2,null,null,null,2,6,59.89,44.08
Adam Lind,Single,8,R,8,2,2,572122,null,493193,2,1,127.91,93.42
Adam Lind,Home Run,2,R,8,3,2,null,null,null,0,2,157.36,17.63
Adam Lind,Single,4,R,8,1,1,null,null,null,0,6,126.9,89.35
Adam Lind,Single,7,R,8,2,1,null,null,null,1,4,135.03,75.79
Adam Lind,Single,9,R,8,2,1,null,null,null,2,9,153.47,79.28
Adam Lind,Double,4,R,8,0,1,null,572122,null,1,7,160.41,47.3
Adam Lind,Single,1,R,8,1,1,null,null,572122,2,9,136.2,106.72
Adam Lind,Single,7,R,8,1,0,429664,null,443558,0,4,119.8,91.56
Adam Lind,Home Run,3,L,9,0,0,null,null,null,2,6,209.65,54.42
Adam Lind,Single,8,R,7,1,1,null,null,443558,0,8,73.61,132.25
Adam Lind,Single,8,R,7,1,1,null,null,null,0,2,71.07,115.46
Adam Lind,Single,5,R,8,1,1,null,null,null,0,4,146.2,51.37
Adam Lind,Double,5,R,7,0,1,null,null,null,2,8,47.72,107.32
Adam Lind,Single,7,R,7,0,1,null,null,null,0,5,89.85,125.63
Adam Lind,Single,6,L,7,1,2,null,null,null,1,6,80.21,111.39
Ben Gamel,Double,7,L,8,1,0,null,null,493193,0,5,141.11,45.1
Ben Gamel,Single,5,R,9,1,1,null,502273,493114,2,8,170.93,106.31
Ben Gamel,Single,1,R,7,1,1,null,null,null,0,10,86.35,105.8
Ben Gamel,Double,9,R,8,1,0,null,null,null,2,8,142.72,68.06
Ben Gamel,Home Run,4,L,7,2,0,null,null,547982,2,8,83.72,46.34
Ben Gamel,Single,9,R,9,1,1,null,null,null,0,6,197.51,95.36
Ben Gamel,Single,5,R,9,1,1,null,null,null,2,2,191.45,93.54
Ben Gamel,Single,5,L,9,1,0,null,null,null,2,5,185.78,93.93
Chris Iannetta,Single,4,L,7,1,0,null,null,493193,2,2,108.62,74.6
Chris Iannetta,Single,8,R,8,3,2,null,null,null,0,4,125.88,88.84
Chris Iannetta,Single,5,L,6,2,2,443558,572122,493193,0,2,107.55,168.76
Chris Iannetta,Single,8,R,7,0,0,null,null,null,0,5,80.2,102.07
Chris Iannetta,Single,7,R,7,3,1,null,null,null,1,7,74.1,117.33
Chris Iannetta,Single,8,L,7,2,1,null,null,null,0,5,53.8,87.83
Chris Iannetta,Single,2,R,9,3,2,null,null,429711,1,4,187.31,114.28
Chris Iannetta,Single,6,R,8,2,2,null,493193,null,2,4,126.9,101.56
Chris Iannetta,Home Run,4,L,7,2,0,null,null,null,1,5,10.65,65.45
Chris Iannetta,Single,7,R,8,1,0,null,null,null,1,2,120.3,90.88
Chris Iannetta,Single,4,R,8,0,0,null,null,452252,1,3,117.76,95.46
Chris Iannetta,Single,4,L,7,3,2,null,null,null,2,3,76.91,105.06
Chris Iannetta,Single,6,R,8,1,2,null,null,null,1,7,109.64,102.07
Chris Iannetta,Double,6,R,8,3,2,606466,null,null,2,7,113.7,57.31
Chris Iannetta,Single,4,L,7,1,0,null,null,null,0,3,62.94,132.59
Chris Iannetta,Single,6,L,8,0,0,null,null,null,1,4,141.11,77.65
Chris Iannetta,Double,5,L,8,3,2,null,null,null,1,8,171.06,42.56
Chris Iannetta,Double,1,R,7,1,1,null,572122,null,2,9,35.53,86.98
Chris Iannetta,Single,4,L,7,0,1,null,null,null,1,8,95.43,85.45
Chris Iannetta,Single,4,R,7,0,0,null,null,null,0,2,77.16,115.46
Chris Iannetta,Single,6,R,9,0,0,null,null,572122,2,2,170.75,131.11
Chris Iannetta,Home Run,6,R,8,3,2,null,null,null,0,11,156.35,25.94
Chris Iannetta,Single,9,L,9,1,0,null,null,null,0,3,177.89,106.5
Chris Iannetta,Single,4,L,9,0,1,452234,429664,443558,2,6,170.68,114.8
Chris Iannetta,Single,4,R,9,0,1,null,null,572122,0,4,169.55,112.41
